Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Correct Answer(s),Time Limit (sec) (Max: 300 seconds)
263,Pinyin của chữ「休」là gì?,xīng,jīn,gè,xiū,4,15
264,Pinyin của chữ「亡」là gì?,mén,máng,èr,wáng,4,15
265,Pinyin của chữ「也」là gì?,shū,yě,xiǎo,bù,2,15
266,Pinyin của chữ「又」là gì?,xiè,yòu,zhè,nǎ,2,15
267,Pinyin của chữ「子」là gì?,rén,zǐ,mù,fā,2,15
268,Pinyin của chữ「小」là gì?,xiǎo,nǚ,tài,wén,1,15
269,Pinyin của chữ「回」là gì?,guān,huí,le,gè,2,15
270,Pinyin của chữ「校」là gì?,le,wáng,fēn,xiào,4,15
271,Pinyin của chữ「那」là gì?,fàn,nà,nǎ,xiǎo,2,15
272,Pinyin của chữ「哪」là gì?,guān,nǎ,fàn,xiē,2,15
273,Pinyin của chữ「十」là gì?,qù,míng,shí,rén,3,15
274,Pinyin của chữ「昨」là gì?,nǐ,zuó,mǐ,shēng,2,15
275,Pinyin của chữ「谢」là gì?,mén,xiè,xiào,jìn,2,15
276,Pinyin của chữ「人」là gì?,yě,rén,liù,nǎ,2,15
277,Pinyin của chữ「问」là gì?,wèn,yào,yòu,jǐ,1,15
278,Pinyin của chữ「叫」là gì?,zhōng,bái,yě,jiào,4,15
279,Pinyin của chữ「门」là gì?,míng,tǐ,jiǔ,mén,4,15
280,Pinyin của chữ「们」là gì?,men,yuán,sān,bā,1,15
281,Pinyin của chữ「名」là gì?,qī,yòu,míng,xià,3,15
282,Pinyin của chữ「字」là gì?,yǔ,mù,rì,zì,4,15
283,Pinyin của chữ「国」là gì?,tā,guó,jīng,tā,2,15
284,Pinyin của chữ「中」là gì?,zhōng,zǐ,gōng,xiè,1,15
285,Pinyin của chữ「文」là gì?,nǚ,men,wén,jǐ,3,15
286,Pinyin của chữ「习」là gì?,èr,xí,yuán,xiǎo,2,15
287,Pinyin của chữ「发」là gì?,shàng,gōng,bā,fā,4,15
288,Pinyin của chữ「音」là gì?,hǎo,fàn,hàn,yīn,4,15
289,Pinyin của chữ「朋」là gì?,yòu,péng,shēn,tiān,2,15
290,Pinyin của chữ「书」là gì?,gōng,shū,jǐ,kǒu,2,15
291,Pinyin của chữ「个」là gì?,shì,shēn,máng,gè,4,15
292,Pinyin của chữ「午」là gì?,wǔ,háng,wèn,hǎo,1,15
293,Pinyin của chữ「头」là gì?,tóu,shàng,xí,xué,1,15
294,Pinyin của chữ「米」là gì?,jīn,mǐ,nǚ,yīn,2,15
295,Pinyin của chữ「吃」là gì?,dà,xí,hàn,chī,4,15
296,Pinyin của chữ「要」là gì?,tā,wáng,yě,yào,4,15
297,Pinyin của chữ「饭」là gì?,fàn,yǔ,mù,wèn,1,15
298,Pinyin của chữ「些」là gì?,xiē,xīng,kǒu,yuè,1,15
299,Pinyin của chữ「包」là gì?,yě,mén,péng,bāo,4,15
300,Pinyin của chữ「酒」là gì?,zuò,jiǔ,yě,bái,2,15
301,Pinyin của chữ「元」là gì?,máng,bāo,yuán,shí,3,15
302,Pinyin của chữ「毛」là gì?,máo,fēn,shēng,shí,1,15
303,Pinyin của chữ「分」là gì?,fàn,rì,fēn,rén,3,15
304,你___吗? (Bạn có khỏe không?),分,对,语,好,4,20
305,我很___。 (Tôi rất bận.),妈,忙,汉,们,2,20
306,明___见。 (Hẹn gặp lại ngày mai.),个,师,十,天,4,20
307,汉___不难。 (Tiếng Hán không khó.),语,元,体,休,1,20
308,去北___。 (Đi Bắc Kinh.),人,午,头,京,4,20
309,"七___九。 (Bảy, tám, chín.)",八,饭,我,汉,1,20
310,不___。 (Không đúng.),对,星,期,子,1,20
311,她很___。 (Cô ấy rất tốt.),头,又,习,好,4,20
312,___京很大。 (Bắc Kinh rất lớn.),北,分,二,日,1,20
313,去银___。 (Đi ngân hàng.),人,行,妈,马,2,20
314,今___很忙。 (Hôm nay rất bận.),太,了,老,天,4,20
315,明___去银行。 (Ngày mai đi ngân hàng.),头,酒,马,天,4,20
316,星___三。 (Thứ tư.),毛,期,也,八,2,20
317,星期___。 (Thứ ba.),二,些,马,学,1,20
318,星期___。 (Thứ năm.),朋,四,吃,九,2,20
319,你学汉语___？ (Bạn học tiếng Hán không?),吗,见,北,午,1,20
320,你去北___吗？ (Bạn đi Bắc Kinh không?),元,六,京,进,3,20
321,北___很大。 (Bắc Kinh rất lớn.),京,些,今,叫,1,20
322,他不___。 (Anh ấy không bận.),八,日,忙,中,3,20
323,今___见。 (Hôm nay gặp.),语,天,那,下,2,20
324,去银___吗？ (Đi ngân hàng không?),星,行,饭,进,2,20
325,几___？ (Mấy ngày?),下,身,好,天,4,20
326,今天星期___？ (Hôm nay là thứ mấy?),二,几,头,分,2,20
327,这___你妈妈吗？ (Đây là mẹ bạn phải không?),难,二,五,是,4,20
328,你叫什么___字？ (Bạn tên gì?),身,语,包,名,4,20
329,他是中___人。 (Anh ấy là người Trung Quốc.),朋,米,今,国,4,20
330,我学___文。 (Tôi học tiếng Trung.),我,毛,元,中,4,20
331,汉___不难。 (Chữ Hán không khó.),字,他,小,天,1,20
332,中国很___。 (Trung Quốc rất lớn.),也,哪,书,大,4,20
333,中___不难。 (Tiếng Trung không khó.),上,文,这,校,2,20
334,我学___中文。 (Tôi học tập tiếng Trung.),工,今,作,习,4,20
335,汉语___音不难。 (Phát âm tiếng Hán không khó.),元,毛,发,又,3,20
336,他是我___友。 (Anh ấy là bạn tôi.),妈,朋,十,木,2,20
337,发___很好。 (Phát âm rất tốt.),音,叫,她,是,1,20
338,我看___。 (Tôi đọc sách.),难,书,这,元,2,20
339,中___很忙。 (Buổi trưa rất bận.),下,你,午,京,3,20
340,一___人。 (Một người.),银,字,个,二,3,20
341,上___去学校。 (Buổi sáng đi trường.),哪,门,二,午,4,20
342,这不是汉语___。 (Đây không phải sách tiếng Hán.),上,门,书,口,3,20
343,一___人有一个头。 (Một người có một cái đầu.),个,北,月,九,1,20
344,"汉语很难，我___大了！ (Tiếng Hán rất khó, tôi nhức đầu quá!)",几,吗,头,期,3,20
345,今天有二十___人去学校。 (Hôm nay có hai mươi người đi trường.),白,分,个,米,3,20
346,下___不回学校。 (Buổi chiều không về trường.),口,午,一,六,2,20
347,我不喝___。 (Tôi không uống rượu.),又,酒,今,书,2,20
348,这个面包三___五毛。 (Cái bánh mì này ba đồng năm hào.),几,元,谢,很,2,20
349,三元五___。 (Ba đồng năm hào.),分,毛,几,包,2,20
350,你几点几___回去？ (Bạn mấy giờ mấy phút về?),们,中,分,日,3,20
351,「北京」có nghĩa là gì?,Mấy ngày,Đây là,Cơ thể / Sức khỏe,Bắc Kinh,4,20
352,「汉语」có nghĩa là gì?,Tiếng Hán,Quá bận,Học tập,Cơ thể / Sức khỏe,1,20
353,「银行」có nghĩa là gì?,Có khỏe / tốt không?,Ngân hàng,Phát âm,Ngày mai đi,2,20
354,「明天」có nghĩa là gì?,Học tập,Bố,Không gặp,Ngày mai,4,20
355,「你好」có nghĩa là gì?,Công việc / Làm việc,Xin chào,Rất bận,Tiếng Hán,2,20
356,「爸爸」có nghĩa là gì?,Hôm nay gặp,Không khó,Phát âm,Bố,4,20
357,「妈妈」có nghĩa là gì?,Mẹ,Thứ ba,Chủ nhật,Người trong nước,1,20
358,「很大」có nghĩa là gì?,Trung Quốc,Rất to,Hôm nay gặp,Buổi sáng,2,20
359,「太忙」có nghĩa là gì?,Văn tự / Chữ viết,Quá bận,Bắc Kinh,Đại học,2,20
360,「不难」có nghĩa là gì?,Thứ sáu,Đi không?,Không khó,Tên,3,20
361,「很忙」có nghĩa là gì?,Đúng không?,Không gặp,Rất bận,Hôm nay,3,20
362,「去吗」có nghĩa là gì?,Người Trung Quốc,Tóc,Đi không?,Ngựa lớn,3,20
363,「今天」có nghĩa là gì?,Hôm nay,Bắc Kinh,Luyện viết chữ,Thứ bảy,1,20
364,「星期」có nghĩa là gì?,Tuần / thứ,Ngày mai đi,Bố,Ngựa lớn,1,20
365,「星期一」có nghĩa là gì?,Người trong nước,Học tập,Thứ hai,Thứ năm,3,20
366,「星期二」có nghĩa là gì?,Thứ ba,Hôm nay đi,Đây là,Bắc Kinh,1,20
367,「星期三」có nghĩa là gì?,Xin chào,Có khỏe / tốt không?,Đây là,Thứ tư,4,20
368,「星期四」có nghĩa là gì?,Ngày mai,Học tập,Chữ Hán,Thứ năm,4,20
369,「星期五」có nghĩa là gì?,Bố,Thứ sáu,Bạn bè,Ngày mai đi,2,20
370,「星期六」có nghĩa là gì?,Luyện viết chữ,Học tập,Cơ thể / Sức khỏe,Thứ bảy,4,20
371,「星期天」có nghĩa là gì?,Bạn bè,Người trong nước,Chủ nhật,Thứ hai,3,20
372,「几天」có nghĩa là gì?,Tên,Mấy ngày,Văn tự / Chữ viết,Ngày mai,2,20
373,「今天见」có nghĩa là gì?,Hôm nay gặp,Ngựa trắng,Tóc,Đi không?,1,20
374,「今天去」có nghĩa là gì?,Ngựa trắng,Ngựa lớn,Hôm nay đi,Buổi chiều,3,20
375,「明天去」có nghĩa là gì?,Không đi,Thứ hai,Bắc Kinh,Ngày mai đi,4,20
376,「大学」có nghĩa là gì?,Chủ nhật,Rất to,Bạn bè,Đại học,4,20
377,「好吗」có nghĩa là gì?,Hôm nay gặp,Ngày mai đi,Phải không / Vậy sao?,Có khỏe / tốt không?,4,20
378,「对吗」có nghĩa là gì?,Thứ năm,Đúng không?,Thứ sáu,Hôm nay đi,2,20
379,「工作」có nghĩa là gì?,Người trong nước,Trung Quốc,Công việc / Làm việc,Bắc Kinh,3,20
380,「这是」có nghĩa là gì?,Cá nhân,Đây là,Ba ngày,Buổi trưa,2,20
381,「是吗」có nghĩa là gì?,Hôm nay đi,Học tập,Ngựa trắng,Phải không / Vậy sao?,4,20
382,「不去」có nghĩa là gì?,Tuần / thứ,Ngựa lớn,Không đi,Người trong nước,3,20
383,「不见」có nghĩa là gì?,Chữ Hán,Trung Quốc,Không gặp,Tiếng Trung,3,20
384,「太好」có nghĩa là gì?,Người Trung Quốc,Quá tốt,Công việc / Làm việc,Đây là,2,20
385,「白马」có nghĩa là gì?,Bắc Kinh,Hôm nay đi,Hôm nay gặp,Ngựa trắng,4,20
386,「大马」có nghĩa là gì?,Ngân hàng,Giáo viên,Ngựa trắng,Ngựa lớn,4,20
387,「这几天」có nghĩa là gì?,Mấy ngày nay,Thứ sáu,Quá tốt,Cơ thể / Sức khỏe,1,20
388,「星期日」có nghĩa là gì?,Thứ tư,Ngựa trắng,Chủ nhật,Thứ bảy,3,20
389,「三天」có nghĩa là gì?,Ngày mai,Ba ngày,Phát âm,Tên,2,20
390,「进去」có nghĩa là gì?,Hôm nay đi,Buổi chiều,Đi vào,Đại học,3,20
391,「老师」có nghĩa là gì?,Giáo viên,Thứ bảy,Rất to,Buổi trưa,1,20
392,「身体」có nghĩa là gì?,Văn tự / Chữ viết,Người trong nước,Cơ thể / Sức khỏe,Không khó,3,20
393,「名字」có nghĩa là gì?,Phải không / Vậy sao?,Tiếng Trung,Tên,Quá tốt,3,20
394,「中国」có nghĩa là gì?,Bạn bè,Đây là,Trung Quốc,Đi vào,3,20
395,「中文」có nghĩa là gì?,Tên,Thứ bảy,Ngân hàng,Tiếng Trung,4,20
396,「中国人」có nghĩa là gì?,Người Trung Quốc,Mấy ngày nay,Hôm nay gặp,Tuần / thứ,1,20
397,「汉字」có nghĩa là gì?,Quá bận,Chữ Hán,Người Trung Quốc,Tuần / thứ,2,20
398,「国人」có nghĩa là gì?,Người Trung Quốc,Người trong nước,Chữ Hán,Thứ hai,2,20
399,「文字」có nghĩa là gì?,Ba ngày,Hôm nay gặp,Đi vào,Văn tự / Chữ viết,4,20
400,「学习」có nghĩa là gì?,Bắc Kinh,Học tập,Ngựa trắng,Đi vào,2,20
401,「朋友」có nghĩa là gì?,Quá tốt,Người trong nước,Bạn bè,Hôm nay đi,3,20
402,「发音」có nghĩa là gì?,Mấy ngày,Phát âm,Mẹ,Không khó,2,20
403,「习字」có nghĩa là gì?,Bạn bè,Thứ ba,Luyện viết chữ,Ngân hàng,3,20
404,「中午」có nghĩa là gì?,Tiếng Trung,Bắc Kinh,Buổi trưa,Phải không / Vậy sao?,3,20
405,「上午」có nghĩa là gì?,Chủ nhật,Hôm nay gặp,Cá nhân,Buổi sáng,4,20
406,「下午」có nghĩa là gì?,Đúng không?,Đi không?,Quá bận,Buổi chiều,4,20
407,「个人」có nghĩa là gì?,Cá nhân,Tuần / thứ,Rất to,Hôm nay gặp,1,20
408,「头发」có nghĩa là gì?,Ngựa trắng,Thứ sáu,Tóc,Cơ thể / Sức khỏe,3,20
409,「吃饭」có nghĩa là gì?,Giáo viên,Hôm nay đi,Đại học,Ăn cơm,4,20
410,「汉语不难。」nghĩa là gì?,Tiếng Hán không khó.,"Người kia là giáo viên đại học, đúng không?",Hôm nay là thứ tư.,Những người này không phải bạn tôi.,1,30
411,「我学汉语。」nghĩa là gì?,Mẹ bảo tôi buổi trưa về ăn cơm.,Tôi đi ngân hàng.,Tôi học tiếng Hán.,Người này không uống rượu.,3,30
412,「你学汉语吗？」nghĩa là gì?,Cô ấy đi Bắc Kinh mấy ngày?,Hôm nay làm việc bận không?,Bạn của anh ấy tên là Tạ Hữu Phân.,Bạn học tiếng Hán không?,4,30
413,「我爸爸很好，你爸爸好吗？」nghĩa là gì?,Đây là túi xách của bạn hả?,"Cái bánh mì này không ngon, tôi không ăn.","Bố tôi rất khỏe, bố bạn có khỏe không?","Hôm nay sức khỏe tôi không tốt, không đi làm.",3,30
414,「妈妈今天很忙。」nghĩa là gì?,Hôm nay mẹ rất bận.,Một mình đi Bắc Kinh.,Một người có một cái đầu.,Buổi trưa đi gặp bạn.,1,30
415,「我去银行。」nghĩa là gì?,Tôi đi ngân hàng.,Tôi không vào trường gặp giáo viên.,Ngày mai tôi đi Trung Quốc hai mươi ngày.,Hôm nay là thứ mấy?,1,30
416,「她去北京几天？」nghĩa là gì?,Cô ấy đi Bắc Kinh mấy ngày?,Thầy Bạch thứ năm vào trường không?,"Cái bánh mì này không ngon, tôi không ăn.","Anh ấy muốn ăn mì, tôi muốn ăn cơm trắng.",1,30
417,「他去银行吗？」nghĩa là gì?,Ngày mai tôi về trường.,Anh ấy đi ngân hàng không?,Mẹ tôi hỏi giáo viên sức khỏe tốt không?,"Ngân hàng đóng cửa thứ Bảy, Chủ Nhật.",2,30
418,「我去了北京，北京很大。」nghĩa là gì?,Cái cặp sách này là của cô ấy phải không?,Tên người bạn của bạn là gì?,Giáo viên bảo tôi ngày mai đến trường.,"Tôi đã đi Bắc Kinh, Bắc Kinh rất lớn.",4,30
419,「明天见！」nghĩa là gì?,Đây là mẹ tôi.,Hẹn gặp ngày mai!,Hôm nay có hai mươi người đi trường.,Hôm nay là thứ mấy?,2,30
420,「今天我去见妈妈。」nghĩa là gì?,Chủ nhật tôi không làm việc.,Hôm nay tôi đi gặp mẹ.,Đó là sách tiếng Hán của bạn phải không?,"Hôm nay sức khỏe tôi không tốt, không đi làm.",2,30
421,「星期几你去银行？」nghĩa là gì?,Anh ấy là người Trung Quốc.,Thứ mấy bạn đi ngân hàng?,Thầy Bạch thứ năm vào trường không?,Đây là bố tôi.,2,30
422,「明天我很忙。」nghĩa là gì?,Bạn tên gì?,"Người kia là giáo viên đại học, đúng không?",Cái bánh mì này ba đồng năm hào.,Ngày mai tôi rất bận.,4,30
423,「今天星期几？」nghĩa là gì?,Anh ấy là người Trung Quốc.,Cái bánh mì này ba đồng năm hào.,Hôm nay mẹ rất nhức đầu!,Hôm nay là thứ mấy?,4,30
424,「今天星期三。」nghĩa là gì?,Trưa ngày mai bạn đi đâu ăn cơm?,Giáo viên ăn cơm một mình.,Thầy Bạch thứ năm vào trường không?,Hôm nay là thứ tư.,4,30
425,「明天星期日吗？」nghĩa là gì?,Ngày mai chủ nhật phải không?,"Ngày ngày học tiếng Hán, tiếng Hán không khó.",Cuốn sách này tên là gì?,Công việc thật khó! Tôi nhức đầu quá!,1,30
426,「今天星期几？」nghĩa là gì?,Hôm nay làm việc bận không?,Hôm nay thứ mấy?,Anh ấy đi ngân hàng không?,"Tiếng Trung không khó, chữ Hán cũng không khó.",2,30
427,「明天我回学校。」nghĩa là gì?,Tôi có ba mươi sáu người bạn Trung Quốc.,Ngày mai tôi về trường.,"Bố tôi rất khỏe, bố bạn có khỏe không?",Đi Trung Quốc làm việc tốt không?,2,30
428,「你明天去哪？」nghĩa là gì?,Ngày mai bạn đi đâu?,Bạn của anh ấy tên là Tạ Hữu Phân.,Chữ Hán không khó.,Buổi chiều tôi đi trường học tập.,1,30
429,「今天工作忙吗？」nghĩa là gì?,Tên tiếng Trung của tôi là Minh Minh.,Đây là túi xách của bạn hả?,Hôm nay làm việc bận không?,"Tiếng Trung không khó, chữ Hán cũng không khó.",3,30
430,「星期五见！」nghĩa là gì?,"Ngày ngày học tiếng Hán, tiếng Hán không khó.",Thứ mấy bạn về Bắc Kinh? Về mấy ngày?,Thứ sáu gặp!,Đi Trung Quốc làm việc tốt không?,3,30
431,「小明是大学生吗？」nghĩa là gì?,Cô ấy đi Bắc Kinh mấy ngày?,Tôi không vào trường gặp giáo viên.,Anh ấy đi ngân hàng không?,Tiểu Minh là sinh viên đại học phải không?,4,30
432,「今天是十月九日。」nghĩa là gì?,Đây là bố tôi.,Tiếng Hán không khó.,"Hôm nay tôi làm việc, không đi gặp giáo viên.",Hôm nay là ngày 9 tháng 10.,4,30
433,「这是我妈妈。」nghĩa là gì?,Đây là mẹ tôi.,"Đây là ngựa trắng, đúng không?",Tôi học tiếng Hán.,Tiểu Minh là sinh viên đại học phải không?,1,30
434,「你明天去银行工作吗？」nghĩa là gì?,Bạn của anh ấy tên là Tạ Hữu Phân.,Hôm nay là thứ mấy?,Thứ sáu gặp!,Ngày mai bạn đi ngân hàng làm việc không?,4,30
435,「这是我爸爸。」nghĩa là gì?,Chữ Hán không khó.,Mẹ bảo tôi buổi trưa về ăn cơm.,Những người này không phải bạn tôi.,Đây là bố tôi.,4,30
436,「他明天去北京工作。」nghĩa là gì?,Ngày mai anh ấy đi Bắc Kinh làm việc.,Ngày mai tôi về trường.,Thầy Bạch thứ năm vào trường không?,Hôm nay mẹ rất nhức đầu!,1,30
437,「星期日我不工作。」nghĩa là gì?,"Bố tôi rất khỏe, bố bạn có khỏe không?","Đó là học sinh của tôi, tôi rất tốt với bạn ấy.",Chủ nhật tôi không làm việc.,Cô ấy là bạn tốt của tôi.,3,30
438,「这几天我很忙。」nghĩa là gì?,Tôi học tập tiếng Trung.,Hôm nay làm việc bận không?,Đây là mẹ tôi.,Mấy ngày nay tôi rất bận.,4,30
439,「天天学汉语，汉语不难。」nghĩa là gì?,Bạn học tiếng Hán không?,Phát âm tiếng Trung của bạn tôi rất tốt.,"Ngày ngày học tiếng Hán, tiếng Hán không khó.",Một tuần bạn đến trường mấy ngày?,3,30
440,「你不是我妈妈。」nghĩa là gì?,Bạn không phải là mẹ của tôi.,Trưa chủ nhật bạn có đi ăn cơm không?,Bạn thứ mấy vào trường làm việc?,Hẹn gặp ngày mai!,1,30
441,「这是白马，对吗？」nghĩa là gì?,Bố bảo tôi đi Bắc Kinh học tiếng Hán.,"Đây là ngựa trắng, đúng không?",Bố hỏi tôi ngày mai đi đâu làm việc?,"Cảm ơn bạn, hôm nay tôi không đi làm.",2,30
442,「今天他去银行工作吗？」nghĩa là gì?,Giáo viên bảo tôi ngày mai đến trường.,Hôm nay anh ấy đi ngân hàng làm việc phải không?,"Hôm nay sức khỏe tôi không tốt, không đi làm.",Mẹ tôi hỏi giáo viên sức khỏe có tốt không?,2,30
443,「北京大吗？」nghĩa là gì?,"Ngân hàng đóng cửa thứ Bảy, Chủ Nhật.",Cô ấy là bạn tốt của tôi.,Đó là tên bạn phải không?,Bắc Kinh lớn không?,4,30
444,「银行星期六、星期日关」nghĩa là gì?,Cái bánh mì này ba đồng năm hào.,Tôi có ba mươi sáu người bạn Trung Quốc.,"Ngân hàng đóng cửa thứ Bảy, Chủ Nhật.",Bố hỏi tôi ngày mai đi đâu làm việc?,3,30
445,「你一星期去学校几天？」nghĩa là gì?,Hôm nay có hai mươi người đi trường.,Buổi sáng tôi đọc sách.,Phát âm tiếng Trung của bạn tôi rất tốt.,Một tuần bạn đến trường mấy ngày?,4,30
446,「那是我学生，我对他很好」nghĩa là gì?,"Ngày ngày học tiếng Hán, tiếng Hán không khó.","Đó là học sinh của tôi, tôi rất tốt với bạn ấy.",Buổi trưa đi gặp bạn.,Đây là bố tôi.,2,30
447,「明天星期一，你去哪？」nghĩa là gì?,Giáo viên bảo tôi ngày mai đến trường.,Anh ấy là bạn Trung Quốc của tôi.,"Ngày mai thứ Hai, bạn đi đâu?",Anh ấy đi ngân hàng không?,3,30
448,「你星期几回北京？回几天？」nghĩa là gì?,Thứ mấy bạn về Bắc Kinh? Về mấy ngày?,"Tiếng Hán rất khó, tôi nhức đầu quá!",Hôm nay mẹ rất nhức đầu!,Bạn tên gì?,1,30
449,「我不进学校见老师」nghĩa là gì?,Tôi không vào trường gặp giáo viên.,Mẹ tôi hỏi giáo viên sức khỏe có tốt không?,Cái bánh mì này ba đồng năm hào.,Hôm nay anh ấy đi ngân hàng làm việc phải không?,1,30
450,「我妈问老师身体好吗？」nghĩa là gì?,Mẹ tôi hỏi giáo viên sức khỏe có tốt không?,Mẹ tôi hỏi giáo viên sức khỏe tốt không?,Ngày mai bạn đi ngân hàng làm việc không?,Một mình đi Bắc Kinh.,1,30
451,「这是我爸爸，他身体很好」nghĩa là gì?,Mẹ bảo tôi buổi trưa về ăn cơm.,Ngày mai tôi đi Trung Quốc hai mươi ngày.,"Đây là bố tôi, sức khỏe ông ấy rất tốt.",Một tuần bạn đến trường mấy ngày?,3,30
452,「老师叫你明天去学校吗？」nghĩa là gì?,Mẹ tôi hỏi giáo viên sức khỏe tốt không?,Giáo viên bảo bạn ngày mai đến trường phải không?,Bạn muốn một ít bánh bao không?,Bạn thứ mấy vào trường làm việc?,2,30
453,「你星期几进学校工作？」nghĩa là gì?,Bắc Kinh lớn không?,Hôm nay anh ấy đi ngân hàng làm việc phải không?,"Đây là một cuốn sách tiếng Hán, không khó.",Bạn thứ mấy vào trường làm việc?,4,30
454,「我今天工作，不去见老师」nghĩa là gì?,"Hôm nay tôi làm việc, không đi gặp giáo viên.",Chữ Hán không khó.,Hôm nay mẹ rất bận.,Thứ mấy bạn về Bắc Kinh? Về mấy ngày?,1,30
455,「老师叫我明天去学校」nghĩa là gì?,Ngày mai bạn đi đâu?,Hôm nay là thứ mấy?,Giáo viên bảo tôi ngày mai đến trường.,Ngày mai tôi về trường.,3,30
456,「白老师星期四进学校吗？」nghĩa là gì?,Đây là mẹ tôi.,"Tiếng Trung không khó, chữ Hán cũng không khó.",Bạn thứ mấy vào trường làm việc?,Thầy Bạch thứ năm vào trường không?,4,30
457,「我今天身体不好，不去工作」nghĩa là gì?,"Hôm nay sức khỏe tôi không tốt, không đi làm.",Ngày mai chủ nhật phải không?,Giáo viên bảo tôi ngày mai đến trường.,Trung Quốc rất lớn.,1,30
458,「我进去学校见老师。」nghĩa là gì?,Đây là túi xách của bạn hả?,Tôi đi vào trường gặp giáo viên.,Ngày mai chủ nhật phải không?,Giáo viên bảo bạn ngày mai đến trường phải không?,2,30
459,「我妈妈问老师身体好吗？」nghĩa là gì?,Hôm nay có hai mươi người đi trường.,Đây là túi xách của bạn hả?,Một người có một cái đầu.,Mẹ tôi hỏi giáo viên sức khỏe tốt không?,4,30
460,「谢谢你，我今天不去工作。」nghĩa là gì?,Ngày mai bạn đi đâu?,Thứ mấy bạn về Bắc Kinh? Về mấy ngày?,"Cảm ơn bạn, hôm nay tôi không đi làm.",Đây là mẹ tôi.,3,30
461,「你星期几进银行工作？」nghĩa là gì?,Bạn thứ mấy vào ngân hàng làm việc?,Hôm nay mẹ rất nhức đầu!,Bố hỏi tôi ngày mai đi đâu làm việc?,Hôm nay là thứ tư.,1,30
462,「白老师星期四进学校吗？」nghĩa là gì?,"Anh ấy muốn ăn mì, tôi muốn ăn cơm trắng.","Ngân hàng đóng cửa thứ Bảy, Chủ Nhật.",Cô ấy tên gì?,Thầy Bạch thứ năm vào trường không?,4,30
463,「爸爸叫我去北京学汉语。」nghĩa là gì?,"Đây là một cuốn sách tiếng Hán, không khó.",Hôm nay mẹ rất bận.,Bố bảo tôi đi Bắc Kinh học tiếng Hán.,Hôm nay làm việc bận không?,3,30
464,「爸爸问我明天去哪工作？」nghĩa là gì?,Thầy Bạch thứ năm vào trường không?,Bố hỏi tôi ngày mai đi đâu làm việc?,Ngày mai tôi về trường.,Tôi không vào trường gặp giáo viên.,2,30
465,「你叫什么名字？」nghĩa là gì?,"Cảm ơn bạn, hôm nay tôi không đi làm.",Hôm nay làm việc bận không?,Bạn tên gì?,Cái bánh mì này ba đồng năm hào.,3,30
466,「他是中国人。」nghĩa là gì?,Anh ấy là người Trung Quốc.,Một mình đi Bắc Kinh.,Tôi đi ngân hàng.,"Hôm nay sức khỏe tôi không tốt, không đi làm.",1,30
467,「我学中文。」nghĩa là gì?,Thứ mấy bạn về Bắc Kinh? Về mấy ngày?,Giáo viên bảo bạn ngày mai đến trường phải không?,Tôi học tiếng Trung.,Tên tiếng Trung của tôi là Minh Minh.,3,30
468,「汉字不难。」nghĩa là gì?,Buổi trưa đi gặp bạn.,Chữ Hán không khó.,Bạn muốn một ít bánh bao không?,Anh ấy là bạn Trung Quốc của tôi.,2,30
469,「中国很大。」nghĩa là gì?,Tôi học tập tiếng Trung.,Những người này không phải bạn tôi.,Tôi học tiếng Hán.,Trung Quốc rất lớn.,4,30
470,「她叫什么名字？」nghĩa là gì?,Ngày mai bạn đi đâu?,Cô ấy tên gì?,"Tôi đã đi Bắc Kinh, Bắc Kinh rất lớn.","Tiếng Trung không khó, chữ Hán cũng không khó.",2,30
471,「你是哪国人？」nghĩa là gì?,Đó là tên bạn phải không?,Bạn là người nước nào?,Tôi có ba mươi sáu người bạn Trung Quốc.,Đi Trung Quốc làm việc tốt không?,2,30
472,「中文不难，汉字也不难。」nghĩa là gì?,Trung Quốc rất lớn.,"Tiếng Trung không khó, chữ Hán cũng không khó.",Công việc thật khó! Tôi nhức đầu quá!,"Ngày ngày học tiếng Hán, tiếng Hán không khó.",2,30
473,「我学习中文。」nghĩa là gì?,Tên tiếng Trung của tôi là Minh Minh.,Tôi học tập tiếng Trung.,Hôm nay làm việc bận không?,Bạn tên gì?,2,30
474,「他是我朋友。」nghĩa là gì?,Đó là sách tiếng Hán của bạn phải không?,Công việc thật khó! Tôi nhức đầu quá!,Bạn không phải là mẹ của tôi.,Anh ấy là bạn tôi.,4,30
475,「汉语发音不难。」nghĩa là gì?,"Chủ nhật ngân hàng đóng, trường cũng đóng.",Cô ấy là bạn tốt của tôi.,Phát âm tiếng Hán không khó.,"Anh ấy muốn ăn mì, tôi muốn ăn cơm trắng.",3,30
476,「她是我好朋友。」nghĩa là gì?,"Chủ nhật ngân hàng đóng, trường cũng đóng.",Một người có một cái đầu.,Cô ấy là bạn tốt của tôi.,Thầy Bạch thứ năm vào trường không?,3,30
477,「我朋友学习汉语发音。」nghĩa là gì?,Bạn tôi học tập phát âm tiếng Hán.,Tôi học tiếng Hán.,Thầy Bạch thứ năm vào trường không?,Hôm nay tôi đi gặp mẹ.,1,30
478,「我上午看书。」nghĩa là gì?,Tiếng Hán không khó.,Tôi học tiếng Trung.,Ngày mai bạn đi đâu?,Buổi sáng tôi đọc sách.,4,30
